year,month,age,usertype,Trips,Avgtripdur
2018,Apr,47,Customer,534,32.75873908
2018,Apr,47,Subscriber,21945,12.39024683
2018,Apr,48,Customer,515,31.33585761
2018,Apr,48,Subscriber,24021,12.7430193
2018,Apr,49,Customer,100353,36.59489535
2018,Apr,49,Subscriber,37171,12.63225678
2018,Apr,50,Customer,375,41.474
2018,Apr,50,Subscriber,19533,12.67230072
2018,Apr,51,Customer,472,298.7819562
2018,Apr,51,Subscriber,18967,12.21222386
2018,Apr,52,Customer,535,25.98707165
2018,Apr,52,Subscriber,17459,12.50766749
2018,Apr,53,Customer,337,33.61864491
2018,Apr,53,Subscriber,17117,12.74018812
2018,Apr,54,Customer,376,26.27765957
2018,Apr,54,Subscriber,17123,12.02283381
2018,Apr,55,Customer,332,31.22158635
2018,Apr,55,Subscriber,17380,12.36872746
2018,Apr,56,Customer,296,30.89943694
2018,Apr,56,Subscriber,16159,12.23299297
2018,Apr,57,Customer,256,40.39824219
2018,Apr,57,Subscriber,13416,12.87195264
2018,Apr,58,Customer,266,27.58703008
2018,Apr,58,Subscriber,14708,12.399047
2018,Apr,59,Customer,122,44.31448087
2018,Apr,59,Subscriber,13378,12.22361589
2018,Apr,60,Customer,161,32.06200828
2018,Apr,60,Subscriber,11169,12.56655177
2018,Apr,61,Customer,106,28.92389937
2018,Apr,61,Subscriber,9878,20.83696599
2018,Apr,62,Customer,122,32.42199454
2018,Apr,62,Subscriber,9502,12.0909405
2018,Apr,63,Customer,108,387.5569444
2018,Apr,63,Subscriber,7299,13.39115404
2018,Apr,64,Customer,109,26.19495413
2018,Apr,64,Subscriber,6982,12.42188723
2018,Apr,65,Customer,89,24.69625468
2018,Apr,65,Subscriber,6218,12.56258979
2018,Apr,66,Customer,61,25.0442623
2018,Apr,66,Subscriber,3936,13.09086213
2018,Apr,67,Customer,42,23.77698413
2018,Apr,67,Subscriber,3578,13.13512204
2018,Apr,68,Customer,44,35.31515152
2018,Apr,68,Subscriber,2764,13.63669802
2018,Apr,69,Customer,10,50.05833333
2018,Apr,69,Subscriber,2029,12.24475111
2018,Apr,70,Customer,6,30.82777778
2018,Apr,70,Subscriber,2120,13.40415881
2018,Apr,71,Customer,12,29.47361111
2018,Apr,71,Subscriber,1724,13.60090874
2018,Apr,72,Customer,20,33.285
2018,Apr,72,Subscriber,1555,17.91024652
2018,Apr,73,Customer,16,40.10833333
2018,Apr,73,Subscriber,775,11.2583871
2018,Apr,74,Customer,18,22.12037037
2018,Apr,74,Subscriber,669,11.03672147
2018,Apr,75,Customer,13,35.02179487
2018,Apr,75,Subscriber,694,16.86575408
2018,Apr,76,Subscriber,751,12.24855748
2018,Apr,77,Customer,3,19.50555556
2018,Apr,77,Subscriber,541,12.25828712
2018,Apr,78,Subscriber,341,10.56168133
2018,Apr,79,Customer,4,11.20833333
2018,Apr,79,Subscriber,167,14.31337325
2018,Apr,80,Customer,1,6.716666667
2018,Apr,80,Subscriber,95,12.51350877
2018,Apr,81,Customer,1,31.61666667
2018,Apr,81,Subscriber,160,12.6571875
2018,Apr,82,Customer,1,65.93333333
2018,Apr,82,Subscriber,34,11.58284314
2018,Apr,83,Subscriber,31,25.03548387
2018,Apr,84,Subscriber,82,12.64857724
2018,Apr,85,Subscriber,21,10.07380952
2018,Apr,86,Subscriber,60,21.21111111
2018,Apr,87,Customer,2,21.55833333
2018,Apr,87,Subscriber,16,20.95208333
2018,Apr,88,Subscriber,21,8.838888889
2018,Apr,89,Subscriber,21,11.08888889
2018,Apr,90,Subscriber,1,30.21666667
2018,Apr,95,Subscriber,190,9.442280702
2018,Apr,97,Subscriber,29,3.894827586
2018,Apr,99,Subscriber,14,30.34166667
2018,Apr,100,Subscriber,11,10.34393939
2018,Apr,101,Subscriber,14,11.08809524
2018,Apr,102,Subscriber,1,45.26666667
2018,Apr,103,Customer,1,33.68333333
2018,Apr,103,Subscriber,2,6.183333333
2018,Apr,106,Subscriber,28,14.00952381
2018,Apr,108,Subscriber,31,4.494086022
2018,Apr,117,Subscriber,26,19.38525641
2018,Apr,118,Subscriber,656,6.865879065
2018,Apr,119,Subscriber,37,19.28738739
2018,Apr,121,Customer,2,27.93333333
2018,Apr,124,Subscriber,36,10.53564815
2018,Apr,128,Subscriber,3,9.966666667
2018,Apr,130,Subscriber,23,13.47753623
2018,Apr,131,Subscriber,120,6.59
2018,Apr,132,Subscriber,22,20.5719697
2018,Apr,133,Subscriber,24,15.83333333
2018,May,16,Customer,118,26.76440678
2018,May,16,Subscriber,277,10.11492178
2018,May,17,Customer,172,333.2501938
2018,May,17,Subscriber,1296,29.21956019
2018,May,18,Customer,573,33.17187318
2018,May,18,Subscriber,3012,14.69651394
2018,May,19,Customer,1261,36.54879725
2018,May,19,Subscriber,5515,12.33682381
2018,May,20,Customer,1512,50.68647487
2018,May,20,Subscriber,7808,13.0283534
2018,May,21,Customer,1795,42.59157846
2018,May,21,Subscriber,9243,13.38054023
2018,May,22,Customer,2399,51.38557732
2018,May,22,Subscriber,12375,12.93314478
